Departamento,Municipio,Longitud,Latitud
Amazonas,La Chorrera,-72.764022332691,-1.23808221157371
Amazonas,Santander,-71.9389381355842,-1.1010276842237
Amazonas,Mirití-Paraná,-71.1855045977313,-0.687037554688044
Amazonas,La Victoria,-71.104878049043,-0.125016386337074
Nariño,Potosí,-77.4248079376972,0.722678477895685
Putumayo,Puerto Caicedo,-76.480994051812,0.725071229483551
Nariño,Córdoba,-77.3603297884649,0.770801804669318
Nariño,Puerres,-77.3222487383145,0.826519348721562
Putumayo,Orito,-76.943139229308,0.673756321136699
Nariño,Contadero,-77.528087316804,0.932667457231609
Nariño,Gualmatán,-77.5826188271654,0.928642622426014
Nariño,Pupiales,-77.6333695400699,0.916769829649637
Caquetá,Solita,-75.6384004526034,0.909265452160496
Nariño,Iles,-77.5186455951211,0.980546075353082
Nariño,Guachucal,-77.7375894014236,0.975037904103314
Nariño,Funes,-77.3284298405787,0.914216534275997
Putumayo,Puerto Guzmán,-75.8802343277681,0.746434642659679
Nariño,Ospina,-77.5523494469114,1.02981584783585
Putumayo,Villagarzón,-76.7449545686259,0.911149459578985
Nariño,Sapuyes,-77.6804499221275,1.03618904567217
Nariño,Imués,-77.5015148454647,1.07289000223855
Caquetá,Curillo,-75.9523650727643,1.05835501747605
Caquetá,Solano,-73.1238718550918,0.211283583028515
Nariño,Yacuanquer,-77.4246756885937,1.12554791519178
Putumayo,Santiago,-77.0056290077447,1.08581285557043
Nariño,Tangua,-77.3506293742492,1.06408386619214
Nariño,Guaitarilla,-77.5301133674403,1.15136666597694
Nariño,Consacá,-77.4406392075302,1.20906673151417
Putumayo,San Francisco,-76.8472665987681,1.13607108877259
Nariño,Túquerres,-77.6307327743204,1.1344416491089
Putumayo,Colón,-76.9667282912251,1.22321635166984
Nariño,Providencia,-77.5984458287789,1.23288187786664
Nariño,Nariño,-77.3538883456506,1.28085960512462
Nariño,Ancuya,-77.5311577636033,1.24525409471297
Putumayo,Sibundoy,-76.9130737522035,1.22874814660651
Caquetá,Valparaíso,-75.6270476688681,1.06129220665823
Nariño,Pasto,-77.2060983577843,1.08360482710842
Caquetá,Milán,-75.3866470298088,1.14669341862388
Caquetá,Albania,-75.8821212199402,1.22755117352185
Nariño,Sandoná,-77.4567006841497,1.28810540897755
Nariño,Mallama,-77.8466592301669,1.15595103743002
Nariño,La Florida,-77.3882284361462,1.33392588827064
Nariño,Buesaco,-77.1163663958825,1.31521563692836
Nariño,Santacruz,-77.7445735212837,1.28517990717779
Putumayo,Mocoa,-76.6843621220244,1.22857488736697
Nariño,Linares,-77.5209461846913,1.39515755410183
Nariño,Albán,-77.0688094747355,1.46985408151649
Nariño,El Tablón,-76.9852695889279,1.4094302075163
Nariño,Chachagüí,-77.2696902198674,1.38649784319703
Nariño,Arboleda,-77.129850004035,1.48005117755867
Nariño,El Tambo,-77.3829433394704,1.43015706883627
Caquetá,Cartagena Del Chairá,-74.2723549852216,0.647693077168699
Nariño,San Bernardo,-77.0207066249135,1.52978248406323
Caquetá,Morelia,-75.673811734714,1.382997087278
Caquetá,San José Del Fragua,-76.1091800292664,1.30436340066098
Cauca,Piamonte,-76.3054722473378,1.15233163276375
Nariño,San Pedro De Cartago,-77.1014032497074,1.536823493188
Nariño,Samaniego,-77.6917976759882,1.43055877874633
Nariño,El Peñol,-77.4304539642166,1.51190485120501
Nariño,Belén,-77.0428952560363,1.59076428106236
Nariño,La Cruz,-76.9233527711088,1.58417620575995
Nariño,La Llanada,-77.7031676259327,1.55400611257765
Nariño,San Lorenzo,-77.2187269257626,1.54213958165178
Nariño,Colón,-77.0473156009375,1.63633437868793
Nariño,Taminango,-77.3252331316906,1.5916625322853
